coordinate,z,x,k,tau_deviation
z,-0.21072103131565253,0.0,0.0,0.0
x,0.0,-0.21072103131565253,0.0,0.0
k,0.06020270731751946,0.017968118183116614,-0.03973378682956285,-0.04040541463503893
tau_deviation,0.0,0.0,0.0,0.0
