coordinate,z,x,k,tau_deviation
z,5.834174857066866,1.5918684311654374,0.27092373863317193,3.9428100117582834e-17
x,1.5918684311654374,0.04833492059376637,0.0808599807430256,1.1767722652604333e-17
k,0.27092373863317193,0.0808599807430256,0.02020270731751946,0.040405414635038925
tau_deviation,3.9428100117582834e-17,1.1767722652604333e-17,0.040405414635038925,0.0
