coordinate,z,x,k,tau_deviation
z,0.0016000000000000003,0.0,0.000454132826530581,-0.00043101705382218153
x,0.0,0.0625,0.005294555483309631,-0.005025057807752464
k,0.000454132826530581,0.005294555483309631,0.0029034025671354166,0.0001759676437262452
tau_deviation,-0.00043101705382218153,-0.005025057807752464,0.0001759676437262452,0.0026832152924863525
