t_years,z,x,r0,capital,log_capital_deviation,tax_rate,nu_tax_speed,ell_J_K,m_J_tau,output,fiscal_resources,J,X,N,c,varpi,lq_log_capital_deviation,lq_tax_rate
0.0,-1.796616591576036,0.0,0.01809549700436294,1.0,0.0,0.5,-0.001411637159303873,1.0103662754020892,-0.0010098645405410347,0.357692674029293,0.2568849194443132,12.699859576677412,12.699859576677412,0.0,0.2565715460012104,-0.4516348430707195,0.0,0.5
0.2,-1.7970292764208942,0.0,0.018182458380479806,1.0001191516637846,0.00011914456578902228,0.4997289712527641,-0.0012996257907475811,1.009834118715643,-0.0009293872889271173,0.3575595742804195,0.25675841643547476,12.694559052046921,12.694619618398342,6.056635144095426e-05,0.25646568465774233,-0.43299456442181694,0.00011852595751733529,0.49973242003618323
0.4,-1.7974249303876346,0.0,0.018265830992395485,1.000234621428647,0.0002345939093440262,0.49947976821240575,-0.0011933368664919948,1.0093248883795343,-0.0008530739531540759,0.35743216232890873,0.25663771600872226,12.689480555618347,12.68959793527999,0.00011737965959556343,0.25636423306346096,-0.4151235337535005,0.00023333456352850034,0.4994861662585109
0.6000000000000001,-1.7978042563147871,0.0,0.01834576294296983,1.0003464607092518,0.0003464007055991631,0.4992512719385985,-0.0010925168198168377,1.0088376422873695,-0.0007807347792456815,0.35731018739673637,0.25652255653248596,12.684614657808819,12.684785354603822,0.0001706967915493019,0.2562670059046184,-0.3979900053347741,0.0003444879172078545,0.4992601712225257
0.8,-1.7981679280357998,0.0,0.018422396223081963,1.0004547219780264,0.00045461862331825406,0.4990424130752908,-0.00099692327578956,1.0083714778687336,-0.0007121888483304646,0.35719340977690245,0.25641268815336016,12.67995233494599,12.680173095608257,0.0002207606599469999,0.2561738257860584,-0.38156354353267385,0.00045204778219892945,0.4990534124116715
1.0,-1.798516591576036,0.0,0.01849586696386268,1.0005594586097568,0.0005593021711333034,0.4988521696660389,-0.00090632452037668,1.007925530337911,-0.0006472636203163198,0.3570816003341214,0.25630787224126106,12.675484951278618,12.675752752216692,0.00026780093078396065,0.2560845228822757,-0.36581496874655894,0.000556075575532421,0.49886491044440673
1.2000000000000002,-1.798850866300371,0.0,0.01856630567851733,1.0006607247397887,0.0006605065572983454,0.49867956507322136,-0.0008204989976106063,1.0074989710264692,-0.0005857945045333537,0.35697454002945717,0.25620788086330937,12.671204241857124,12.671516276571683,0.0003120346926215523,0.25599893460476175,-0.35071630557355327,0.0006566323567152665,0.49869372735303386
1.4000000000000001,-1.7991713460134309,0.0,0.018633837494169043,1.000758575134656,0.0007582875619597253,0.49852366599604403,-0.0007392348332509063,1.00709100579562,-0.0005276244556061254,0.3568720194676233,0.25611249628476274,12.66710229619809,12.6674559633296,0.00035366708980605186,0.2559169052847145,-0.33624073311309965,0.0007537788170041451,0.49853896493132605
1.6,-1.7994786000144245,0.0,0.01869858237413428,1.000853065074027,0.000852701420815293,0.49838358057809634,-0.00066232938241436,1.0067008735209493,-0.00047260359218524576,0.3567738384657531,0.25602151049525673,12.663171542698246,12.663564434677195,0.00039289192176835617,0.2558382858703322,-0.3223625373225554,0.0008475752688757113,0.49839976314815226
1.8,-1.7997731741084446,0.0,0.018760655331025073,1.000944250243065,0.0009438047192394809,0.49825845660428336,-0.0005895888008777474,1.00632784464933,-0.000420588837812164,0.35667980564252105,0.2559347247590824,12.659404733765957,12.659834626036687,0.0004298922105488271,0.2557629336380177,-0.30905706533857774,0.0009380816357048691,0.4982752986244171
