direction,tail_horizon,varpi_0
productivity,40.0,-0.4516348430707195
productivity,80.0,-0.45167882064011367
productivity,200.0,-0.45167882492278855
automation,40.0,-1.7665973132304449
automation,80.0,-1.7667725799821954
automation,200.0,-1.7667725970504526
