direction,label,horizon,n_mesh_points,tolerance,within_tolerance,max_diff_k,max_diff_tau,max_diff_ell,max_diff_m
productivity,horizon_20y_vs_baseline,20.0,161,1.0366275402089231e-05,True,1.3635559979827822e-07,6.988284846354276e-07,8.042246835149314e-08,6.098444033859657e-08
productivity,horizon_80y_vs_baseline,80.0,161,1.0366275402089231e-05,True,9.595666499287417e-09,3.137708315392729e-08,4.125532360177431e-09,1.3244072944866873e-09
productivity,mesh_321_vs_161,40.0,321,1.0366275402089231e-05,True,3.2026187257727656e-12,6.852740597196316e-12,6.1031180109694105e-12,1.498104618873411e-12
automation,horizon_20y_vs_baseline,20.0,161,4.1083329692450654e-05,True,2.227149200812774e-06,1.1378039747045321e-05,1.275641893894175e-06,9.804419177629974e-07
automation,horizon_80y_vs_baseline,80.0,161,4.1083329692450654e-05,True,1.5586151857544625e-07,5.079782580130754e-07,6.74691564839236e-08,2.1387136845535653e-08
automation,mesh_321_vs_161,40.0,321,4.1083329692450654e-05,True,6.5152362671572206e-12,7.1419536951111695e-12,6.597611346137455e-12,1.2263782349396842e-12
