net_worth_to_fiscal_wealth,net_worth_0,x_0,consumption,x_constancy_max_abs_deviation,x_constancy_max_rel_deviation,feasible,failure_reasons,min_specialisation_margin_automation_composite,min_specialisation_margin_new_task_composite,min_tax_margin,min_tax_speed_margin,min_transfer_margin,min_structural_solvency_margin
-0.5,-6.284575159841884,6.2946063849436165,0.12716809047400515,9.148830077698733e-05,1.2541910549940452e-05,False,negative_transfer,1.0375376463674144,0.5767057825897358,0.43866451974379983,0.49927824667346526,-0.10735609556467379,0.03961335556853944
-0.25,-3.142287579920942,9.43689396486456,0.19065080675862453,9.137694389771411e-05,8.755185614161782e-06,False,negative_transfer,1.0375376463674144,0.5767057825897358,0.43866451974379983,0.49927824667346526,-0.043873379280054414,0.03961335556853944
0.0,0.0,12.5791815447855,0.2541335230432438,9.12605639946662e-05,6.720623308089646e-06,True,,1.0375376463674144,0.5767057825897358,0.43866451974379983,0.49927824667346526,0.01960933700456488,0.03961335556853944
0.25,3.142287579920942,15.721469124706442,0.3176162393278632,9.136644919216508e-05,5.464020446455185e-06,True,,1.0375376463674144,0.5767057825897358,0.43866451974379983,0.49927824667346526,0.08309205328918426,0.03961335556853944
0.5,6.284575159841884,18.863756704627384,0.3810989556124825,9.14680512380528e-05,4.60477102081827e-06,True,,1.0375376463674144,0.5767057825897358,0.43866451974379983,0.49927824667346526,0.14657476957380358,0.03961335556853944
