parameter_path,value,outcome,failed_checks,chi,chi_star,real_closed_loop_root_real,real_closed_loop_root_imag_abs,oscillatory,leading_unconstrained_position,return_demand_component,fiscal_hedge_component,hedge_consumption_equivalent_leading,min_boundary_slack
parameters.automation_persistence_annual,0.3,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.10485272681561852,12.569150319683768,-12.46429759286815,0.34268645306866385,0.01960870617297364
parameters.automation_persistence_annual,0.4,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.13489353828106943,12.569150319683768,-12.434256781402699,0.2634504407815853,0.01960870617297364
parameters.automation_persistence_annual,0.5,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.17338412284233762,12.569150319683768,-12.39576619684143,0.20201343807337488,0.019601729730661516
parameters.automation_persistence_annual,0.6,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.22595993387695934,12.569150319683768,-12.343190385806809,0.15184997797617886,0.0194858772149116
parameters.automation_persistence_annual,0.7,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.30341842023995014,12.569150319683768,-12.265731899443818,0.10949587056883246,0.019352034236206905
parameters.automation_persistence_annual,0.75,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.3579592605347859,12.569150319683768,-12.211191059148982,0.09057891240704155,0.019279692157390255
parameters.automation_persistence_annual,0.81,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.01919602618416888
parameters.automation_persistence_annual,0.85,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.5262540792845183,12.569150319683768,-12.04289624039925,0.056435082177541625,0.019089052347139618
parameters.automation_persistence_annual,0.9,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.658545780761532,12.569150319683768,-11.910604538922236,0.04105777174821845,0.018719919058942408
parameters.automation_persistence_annual,0.95,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.8011569589487202,12.569150319683768,-11.767993360735048,0.027019624928759662,0.018371990318185094
parameters.automation_persistence_annual,0.98,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.6746916837515791,12.569150319683768,-11.894458635932189,0.01993074852001904,0.018862039173740686
