t_years,z,x,r0,capital,log_capital_deviation,tax_rate,nu_tax_speed,ell_J_K,m_J_tau,output,fiscal_resources,J,X,N,c,varpi,lq_log_capital_deviation,lq_tax_rate
0.0,-1.806616591576036,0.1335313926245227,0.012111523352325971,1.0,0.0,0.5,-0.005932515726273926,1.0410833296924507,-0.00424471885636968,0.35775032483864044,0.25514401799187836,13.042626856324626,13.042626856324626,0.0,0.26349637302994544,-1.7665973132304449,0.0,0.5
0.2,-1.806616591576036,0.128020754419628,0.012432219314137002,1.0004741016143144,0.0004739892636529441,0.49886288817598345,-0.00544326437639645,1.0389656906721627,-0.003893709976275752,0.35766313254597654,0.2550755492360248,13.023597846968764,13.02195813490284,-0.001639712065649723,0.2630788089004338,-1.695087413625026,0.0004723712142534658,0.4989335916362494
0.4,-1.806616591576036,0.12273753190199897,0.012740827652534932,1.0009349349602499,0.000934498180778891,0.4978208785581257,-0.004981251167016522,1.0369395134228578,-0.00356239046913875,0.3575798880336738,0.2550125523656966,13.005354793325381,13.002140285024481,-0.0032145083009611232,0.2626784346796787,-1.626408951794902,0.0009299273628322268,0.4979521762702815
0.6000000000000001,-1.806616591576036,0.11767233997087383,0.013037745649702101,1.0013824776007283,0.0013815228584087202,0.4968686662800863,-0.004545062002277376,1.0350010497408852,-0.0032497228803806113,0.3575003903964661,0.254954666929068,12.987865427027813,12.983138649757127,-0.004726777272532798,0.2622945502038181,-1.5604554607889574,0.001372915934666225,0.4970514997282001
0.8,-1.806616591576036,0.11281618083437601,0.013323363368750219,1.0018167377075975,0.001815089435664878,0.4960012213536272,-0.0041333613595057024,1.0331467039787043,-0.0029547288076475415,0.35742444836723514,0.25490155626645583,12.9710987493288,12.964919931358079,-0.006178817971455615,0.2619264827683018,-1.4971239482364649,0.0018015830814668895,0.49622748689095714
1.0,-1.806616591576036,0.1081604280258634,0.013598063108205206,1.0022377507793199,0.002235250743987336,0.49521377344041584,-0.003744887480305824,1.031373027142212,-0.0026764851617121278,0.357351879834525,0.25485290576297337,12.955024987888407,12.947452144965576,-0.007572842929598357,0.2615735861923291,-1.4363148359999043,0.0022161735735611037,0.4954762345490134
1.2000000000000002,-1.806616591576036,0.1036968110798987,0.013862218957162328,1.002645576662959,0.0026420832849954573,0.4945017975546434,-0.003378447873216784,1.0296767111476612,-0.002414120681483918,0.35728251138966316,0.2548084212430377,12.939615554160193,12.930704572892603,-0.008910981285668081,0.2612352398954598,-1.3779318947031318,0.002616930756407009,0.4947940045428172
1.4000000000000001,-1.806616591576036,0.09941740084061917,0.01411619643978862,1.0030402968531942,0.0030356844969731266,0.4938610006365052,-0.003032915108230355,1.0280545832456531,-0.0021668126857210335,0.35721617790108956,0.25476782749454496,12.924843001518315,12.914647719734042,-0.010195281793010512,0.260910847990657,-1.3218821740287907,0.003004096507844808,0.4941772171774653
1.6,-1.806616591576036,0.09531459537640781,0.014360352238944113,1.0034220120431523,0.0034161702831955907,0.4932873089358118,-0.002707222883194071,1.026503600614607,-0.0019337840442024575,0.3571527221136878,0.2547308669113725,12.91068098415591,12.89925326837176,-0.011427715762259403,0.2605998383954711,-1.2680759295845418,0.0033779111961316196,0.4936224449003933
1.8,-1.806616591576036,0.09138110647584458,0.014595033989694726,1.0037908399048414,0.003783672778491229,0.49277685615787764,-0.002400362345860501,1.025020845129629,-0.0017143003541138181,0.35709199427123617,0.25469729824431464,12.897104216906946,12.884494036940321,-0.012610179933675253,0.26030166196263016,-1.2164265471132032,0.003738613638805461,0.4931264062313983
2.0,-1.806616591576036,0.08760994670094936,0.014820580134404222,1.0041469130783975,0.004138338332002206,0.492325972321446,-0.0021113786546268516,1.0236035183077579,-0.0015076673071714043,0.3570338517602039,0.25466689545114934,12.88408843612502,12.870343936815946,-0.013744499274950167,0.2600157916313038,-1.166850464642904,0.004086441062419706,0.4926859599347416
2.2,-1.806616591576036,0.08399441697471795,0.015037319831925796,1.004490377351255,0.004480325686156688,0.4919311732823224,-0.0018393677622012999,1.0222489364296108,-0.001313228234115194,0.35697815877330646,0.2546394466373913,12.871610361437286,12.85677793169138,-0.014832429701207926,0.25974172160030423,-1.1192670931722473,0.004421629063185764,0.4922980994234984
2.4000000000000004,-1.806616591576036,0.08052809468090152,0.015245572914172265,1.0048213900100629,0.004809804333700654,0.49158915087990196,-0.0015834734075163362,1.020954525836604,-0.0011303618142016168,0.3569247859913793,0.2546147530800485,12.859647658583295,12.843771997799301,-0.01587566071537426,0.25947896652449154,-1.0735987363538946,0.004744411568558335,0.49195994738672727
2.6,-1.806616591576036,0.07720482225489032,0.015445649884032667,1.0051401183495232,0.005126953036107584,0.49129676366310315,-0.001342884301149353,1.0197178183997433,-0.0009584799374850548,0.3568736102822512,0.25459262832721785,12.848178903344234,12.83130308530561,-0.01687581796749164,0.2592270607348137,-1.0297705096522154,0.005055020799794334,0.4916687506304209
2.8000000000000003,-1.806616591576036,0.07401869624543411,0.015637851949228093,1.005446738324141,0.005431958488597277,0.49105102816199053,-0.0011168314923701455,1.0185364471597012,-0.0007970257098977438,0.3568245144154611,0.2545728973673021,12.837183546559631,12.819349080768484,-0.01783446573217099,0.2589855574798779,-0.9877102593320599,0.005353687235513474,0.4914218751235714
3.0,-1.806616591576036,0.07096405682776899,0.015822471087265762,1.005741433329801,0.005725014118023123,0.4908491106688269,-0.0009045859053295736,1.0174081421341508,-0.000645471590864241,0.3567773867917344,0.25455539586195597,12.826641880228618,12.80788877088774,-0.018753109304013634,0.2587540281935891,-0.9473484815966347,0.00564063957628558,0.4912168012410385
3.2,-1.806616591576036,0.06803547774952155,0.015999790137163024,1.0060243931033923,0.006006319001264845,0.49068831949752495,-0.0007054560334808472,1.0163307262897068,-0.0005033176544545096,0.3567321211862414,0.2545399694375096,12.816535004692813,12.796901807365506,-0.019633197311298478,0.2585320617852412,-0.908618242189973,0.005916104710266895,0.49105111919525457
