t_years,specialisation_margin_automation_composite,specialisation_margin_new_task_composite,tax_margin,tax_speed_margin,transfer_margin,net_rental_tax_base_margin
0.0,0.9940392084062235,0.6309607915937765,0.44999999999999996,0.4940674842737261,0.030958661884829153,0.045212613693524153
0.25,0.9968798443923539,0.6281201556076462,0.4514063179916978,0.49467473587334554,0.030327362747556597,0.04491788797624492
0.5,0.9995862511147403,0.6254137488852598,0.4526661316134915,0.4952399861667402,0.029727047128250528,0.0446376307663994
0.75,1.0021639850577266,0.6228360149422735,0.4537895991755836,0.49576593905883437,0.029158208280381376,0.044371185221740994
1.0,1.0046184189311973,0.6203815810688027,0.4547862265595841,0.4962551125196942,0.028617372665293267,0.04411792133230023
1.25,1.006954741240777,0.618045258759223,0.45566491191744307,0.4967098526663684,0.028104976162586254,0.04387723531787337
1.5,1.009177956995412,0.6158220430045879,0.4564339869933054,0.4971323467131791,0.027617882083532913,0.043648548954022745
1.75,1.0112928893633448,0.6137071106366553,0.45710125533979973,0.4975246348804369,0.027156476528603174,0.04343130884406382
2.0,1.013304182112497,0.6116958178875029,0.457674027678554,0.49788862134537315,0.026717928827456272,0.043224985651771713
2.25,1.015216302693276,0.6097836973067243,0.4581591546345368,0.4982260843130735,0.026302581601948344,0.04302907330717788
2.5,1.0170335458410573,0.6079664541589425,0.45856305705510514,0.4985386852794333,0.025907881584276593,0.04284308819580028
2.75,1.0187600375925179,0.6062399624074822,0.4588917541073249,0.4988279775526611,0.025534133206821852,0.042666568339913016
3.0,1.0203997396247257,0.604600260375274,0.45915088933117304,0.49909541409467045,0.025179034238998838,0.042499072578969496
3.25,1.0219564538388646,0.6030435461611353,0.45934575481140727,0.49934235473881106,0.02484285541061307,0.04234017975502395
3.5,1.0234338271216699,0.6015661728783303,0.4594813136176128,0.49957007283585364,0.02452352137023897,0.04218948790791231
3.75,1.024835356227584,0.600164643772416,0.45956222064914554,0.49977976137586266,0.02422127299195359,0.042046613484025275
4.0,1.0261643927331452,0.5988356072668549,0.45959284201054684,0.49997253862967095,0.023934239760929538,0.04191119056172689
4.25,1.0274241480226154,0.5975758519773847,0.45957727303243057,0.4998505466499893,0.023662636022284828,0.041782870095804656
4.5,1.0286176982703452,0.5963823017296547,0.45951935504327546,0.49968851043101226,0.023404776052055765,0.041661319182776504
4.75,1.0297479893910126,0.5952520106089874,0.4594226909887083,0.4995404289745281,0.0231608505660299,0.04154622034840365
5.0,1.0308178419336813,0.5941821580663188,0.45929065998725277,0.4994054347468302,0.02292934044817177,0.041437270858370776
5.25,1.0318299559000756,0.5931700440999244,0.45912643090309313,0.4992827126425954,0.022710415328950573,0.04133418205274131
5.5,1.032786915470827,0.592213084529173,0.45893297501114194,0.4991714964936198,0.022502706239726805,0.04123667870454438
5.75,1.033691193626841,0.591308806373159,0.45871307782244064,0.4990710658396129,0.02230636397083166,0.04114449840260136
6.0,1.034545156655557,0.590454843344443,0.45846935013275825,0.498980742939563,0.022120154822678484,0.041057390958518084
6.25,1.0353510685342229,0.589648931465777,0.45820423835203866,0.4988998900040384,0.021944212735799856,0.04097511783761376
6.5,1.0361110951843227,0.5888889048156776,0.4579200341676546,0.49882790663047444,0.021777425847863352,0.04089745161343078
6.75,1.0368273085930002,0.5881726914069999,0.45761888359013103,0.49876422742503534,0.021619913020917342,0.0408241754453713
7.0,1.037501690798786,0.5874983092012142,0.4573027954260802,0.49870831979604563,0.02147067211519299,0.04075508257892574
7.25,1.0381361377401706,0.5868638622598292,0.4569736492194976,0.4986596819052692,0.021329808495451852,0.040689975867897785
7.5,1.038732462966621,0.5862675370333791,0.45663320269929053,0.4986178407644845,0.02119641882568607,0.04062866731798473
7.75,1.0392924012125073,0.5857075987874927,0.45628309876790507,0.4985823504658712,0.021070596388368834,0.04057097765103766
8.0,1.0398176118351548,0.5851823881648452,0.4559248720631725,0.4985527905356999,0.02095152681563503,0.04051673588930396
8.25,1.0403096821188316,0.5846903178811684,0.4555599551229797,0.4985287644017035,0.02083929257623887,0.040465778958940324
8.5,1.0407701304469943,0.5842298695530058,0.455189684180067,0.4985098979653187,0.0207331594143306,0.0404179513120783
8.75,1.0412004093455112,0.5837995906544887,0.45481530461214703,0.4984958382707281,0.020633200124009377,0.040373104566723564
9.0,1.0416019083999153,0.5833980916000849,0.4544379760706071,0.49848625226330373,0.020538752589587206,0.04033109716377557
9.25,1.0419759570499885,0.5830240429500115,0.4540587773092853,0.49848082563067253,0.02044988095433281,0.04029179404046111
9.5,1.0423238272651711,0.5826761727348287,0.453678710733187,0.4984792617201804,0.020365988068513613,0.040255066319490565
9.75,1.0426467361044456,0.5823532638955545,0.4532987066855175,0.49848128052704943,0.020287130345525123,0.040220791013256485
10.0,1.042945848164422,0.582054151835578,0.4529196274900406,0.4984866177479856,0.020212769146180726,0.04018885074241357
10.25,1.0432222779194311,0.5817777220805688,0.4525422712645141,0.4984950238954244,0.020142953982763778,0.040159133468197064
10.5,1.043477091957457,0.581522908042543,0.4521673755198023,0.4985062634679902,0.020077198918571543,0.040131532237853804
10.75,1.0437113111157286,0.5812886888842713,0.4517956205582027,0.498520114173102,0.020015547310933385,0.04010594494258396
11.0,1.0439259125197908,0.5810740874802092,0.45142763268354974,0.498536366197984,0.019957560700224697,0.040082274087409414
11.25,1.0441218315298153,0.5808781684701846,0.4510639872347593,0.49855482152563646,0.019903276960535204,0.04006042657240716
11.5,1.044299963597874,0.5807000364021261,0.450705211453654,0.4985752932925949,0.019852300408271822,0.040040313484767345
11.75,1.0444611660398122,0.5805388339601877,0.4503517871971438,0.49859760518555546,0.019804664038995445,0.04002184990115612
12.0,1.0446062597252967,0.5803937402747031,0.4500041535031391,0.4986215908741701,0.019760010715727222,0.04000495469988541
12.25,1.044736030689509,0.5802639693104912,0.44966270901892236,0.49864709347752706,0.019718369099771343,0.03998955038241145
12.5,1.0448512316698784,0.5801487683301215,0.4493278143001098,0.4986739650620209,0.01967941679545454,0.03997556290370463
12.75,1.04495258357114,0.58004741642886,0.44899979398778167,0.4987020661684922,0.019643178619582535,0.03996292151105385
13.0,1.0450407768618972,0.5799592231381029,0.4486789388708504,0.49873126536667906,0.019609363493975407,0.03995155859088584
13.25,1.0451164729057782,0.5798835270942216,0.44836550784026563,0.4987614388351674,0.019577992831360136,0.03994140952320152
