direction,label,horizon,n_mesh_points,within_tolerance,max_diff_z,tolerance_z,time_of_max_z,within_tolerance_z,max_diff_x,tolerance_x,time_of_max_x,within_tolerance_x,max_diff_r0,tolerance_r0,time_of_max_r0,within_tolerance_r0,max_diff_capital,tolerance_capital,time_of_max_capital,within_tolerance_capital,max_diff_log_capital_deviation,tolerance_log_capital_deviation,time_of_max_log_capital_deviation,within_tolerance_log_capital_deviation,max_diff_tax_rate,tolerance_tax_rate,time_of_max_tax_rate,within_tolerance_tax_rate,max_diff_nu_tax_speed,tolerance_nu_tax_speed,time_of_max_nu_tax_speed,within_tolerance_nu_tax_speed,max_diff_ell_J_K,tolerance_ell_J_K,time_of_max_ell_J_K,within_tolerance_ell_J_K,max_diff_m_J_tau,tolerance_m_J_tau,time_of_max_m_J_tau,within_tolerance_m_J_tau,max_diff_output,tolerance_output,time_of_max_output,within_tolerance_output,max_diff_fiscal_resources,tolerance_fiscal_resources,time_of_max_fiscal_resources,within_tolerance_fiscal_resources,max_diff_J,tolerance_J,time_of_max_J,within_tolerance_J,max_diff_X,tolerance_X,time_of_max_X,within_tolerance_X,max_diff_N,tolerance_N,time_of_max_N,within_tolerance_N,max_diff_c,tolerance_c,time_of_max_c,within_tolerance_c,max_diff_varpi,tolerance_varpi,time_of_max_varpi,within_tolerance_varpi,max_diff_lq_log_capital_deviation,tolerance_lq_log_capital_deviation,time_of_max_lq_log_capital_deviation,within_tolerance_lq_log_capital_deviation,max_diff_lq_tax_rate,tolerance_lq_tax_rate,time_of_max_lq_tax_rate,within_tolerance_lq_tax_rate
productivity,horizon_20y_vs_baseline,20.0,161,False,0.0,1.000000000000001e-05,0.0,True,0.0,1e-07,0.0,True,0.0,2.107210313156527e-06,0.0,True,1.3657942488087826e-07,2.506876521600754e-06,20.0,True,1.3635559979827822e-07,2.50373954822965e-06,20.0,True,6.988284846354276e-07,2.340052306559537e-06,20.0,True,8.604707327810853e-08,1.411637159303873e-06,20.0,True,8.042246835149314e-08,1.0366275402089231e-05,15.75,True,6.098444033859657e-08,1.0098645405410349e-06,20.0,True,1.6429538785001085e-08,3.559101573296142e-06,20.0,True,2.0039939985228017e-08,2.9540543058357847e-06,20.0,True,7.167074663527728e-06,0.00013070925699413394,0.05,True,7.043508528425946e-06,0.00013070925699413394,0.05,True,1.3642268323647497e-07,2.638897355218096e-06,20.0,True,1.4229794131903617e-07,2.640680862742939e-06,0.05,True,0.006610332079598391,0.0004516348430707195,20.0,False,0.0,2.4927282498466223e-06,0.0,True,0.0,2.3251053506950783e-06,0.0,True
productivity,horizon_80y_vs_baseline,80.0,161,True,0.0,1.000000000000001e-05,0.0,True,0.0,1e-07,0.0,True,0.0,2.107210313156527e-06,0.0,True,9.595646721649587e-09,2.506876521600754e-06,40.0,True,9.595666499287417e-09,2.50373954822965e-06,40.0,True,3.137708315392729e-08,2.340052306559537e-06,40.0,True,1.8696195927417423e-09,1.411637159303873e-06,35.300000000000004,True,4.125532360177431e-09,1.0366275402089231e-05,40.0,True,1.3244072944866873e-09,1.0098645405410349e-06,35.300000000000004,True,1.1553719092560755e-09,3.559101573296142e-06,40.0,True,6.929433693514397e-10,2.9540543058357847e-06,40.0,True,2.8359249412801546e-05,0.00013070925699413394,0.1,True,2.7873499584885053e-05,0.00013070925699413394,0.1,True,4.857498292515252e-07,4.344685134837953e-06,0.1,True,5.631201540068353e-07,2.640680862742939e-06,0.1,True,0.00014225940284812166,0.0004516348430707195,0.1,True,0.0,2.4927282498466223e-06,0.0,True,0.0,2.3251053506950783e-06,0.0,True
productivity,mesh_321_vs_161,40.0,321,True,0.0,1.000000000000001e-05,0.0,True,0.0,1e-07,0.0,True,0.0,2.107210313156527e-06,0.0,True,3.2089886303765525e-12,2.506876521600754e-06,17.1,True,3.2026187257727656e-12,2.50373954822965e-06,17.1,True,6.852740597196316e-12,2.340052306559537e-06,17.1,True,2.1129634771455824e-12,1.411637159303873e-06,17.1,True,6.1031180109694105e-12,1.0366275402089231e-05,17.1,True,1.498104618873411e-12,1.0098645405410349e-06,17.1,True,3.8596903451093567e-13,3.559101573296142e-06,17.1,True,2.2543078515013804e-13,2.9540543058357847e-06,23.6,True,4.172306944383308e-11,0.00013070925699413394,15.200000000000001,True,1.779909553079051e-12,0.00013070925699413394,0.0,True,1.3920774255549162e-12,4.344685134837953e-06,18.5,True,3.597122599785507e-14,2.640680862742939e-06,0.0,True,0.0,0.0004516348430707195,0.0,True,0.0,2.4927282498466223e-06,0.0,True,0.0,2.3251053506950783e-06,0.0,True
automation,horizon_20y_vs_baseline,20.0,161,False,0.0,1e-07,0.0,True,0.0,0.0001335313926245227,0.0,True,0.0,8.091183965193494e-06,0.0,True,2.241896936316934e-06,1.0123924372127614e-05,20.0,True,2.227149200812774e-06,1.0073020724604038e-05,20.0,True,1.1378039747045321e-05,9.593296964336918e-06,20.0,False,1.3812335724669293e-06,5.932515726273926e-06,20.0,True,1.275641893894175e-06,4.1083329692450654e-05,15.600000000000001,True,9.804419177629974e-07,4.24471885636968e-06,20.0,True,2.689218412399441e-07,3.616752382643584e-06,20.0,True,3.2469692606840184e-07,1.2131528534009562e-06,20.0,True,2.534363089878866e-05,0.00047347653664085775,0.05,True,2.7429883850516035e-05,0.00047347653664085775,0.05,True,2.238989471881059e-06,3.522512586307687e-05,19.950000000000003,True,5.541579152223974e-07,9.565507891468039e-06,0.05,True,0.02633790873138115,0.001766597313230445,20.0,False,0.0,9.934474226978917e-06,0.0,True,0.0,9.26643294667684e-06,0.0,True
automation,horizon_80y_vs_baseline,80.0,161,True,0.0,1e-07,0.0,True,0.0,0.0001335313926245227,0.0,True,0.0,8.091183965193494e-06,0.0,True,1.558603907048095e-07,1.0123919358721923e-05,40.0,True,1.5586151857544625e-07,1.0073015761445133e-05,40.0,True,5.079782580130754e-07,9.592842010546887e-06,40.0,True,3.017688369891594e-08,5.932515726273926e-06,35.300000000000004,True,6.74691564839236e-08,4.1083329692450654e-05,40.0,True,2.1387136845535653e-08,4.24471885636968e-06,35.300000000000004,True,1.8766687981397467e-08,3.616752382643584e-06,40.0,True,1.12009858055373e-08,1.2131528534009562e-06,40.0,True,0.00010031200148752362,0.00047347653664085775,0.1,True,0.00010857934346297782,0.00047347653664085775,0.1,True,8.267351424980757e-06,3.522512586307687e-05,0.1,True,2.193596696675737e-06,9.565507891468039e-06,0.1,True,0.0005363427140701038,0.001766597313230445,0.1,True,0.0,9.934474226978917e-06,0.0,True,0.0,9.26643294667684e-06,0.0,True
automation,mesh_321_vs_161,40.0,321,True,0.0,1e-07,0.0,True,0.0,0.0001335313926245227,0.0,True,0.0,8.091183965193494e-06,0.0,True,6.545208819375148e-12,1.0123919358721923e-05,24.1,True,6.5152362671572206e-12,1.0073015761445133e-05,24.1,True,7.1419536951111695e-12,9.592842010546887e-06,29.6,True,1.7287989141916323e-12,5.932515726273926e-06,24.1,True,6.597611346137455e-12,4.1083329692450654e-05,24.1,True,1.2263782349396842e-12,4.24471885636968e-06,24.1,True,7.859268791321483e-13,3.616752382643584e-06,24.1,True,5.141997938551413e-13,1.2131528534009562e-06,26.400000000000002,True,1.3152856581655215e-10,0.00047347653664085775,1.3,True,8.769873716119037e-12,0.00047347653664085775,0.0,True,8.320604621969707e-12,3.522512586307687e-05,40.0,True,1.7719159473017498e-13,9.565507891468039e-06,0.0,True,0.0,0.001766597313230445,0.0,True,0.0,9.934474226978917e-06,0.0,True,0.0,9.26643294667684e-06,0.0,True
