t_years,specialisation_margin_automation_composite,specialisation_margin_new_task_composite,tax_margin,tax_speed_margin,transfer_margin,net_rental_tax_base_margin
0.0,1.0382942174102645,0.5867057825897356,0.44999999999999996,0.49858836284069613,0.020494381141886953,0.04161550916995961
0.25,1.0384425686999448,0.5865574313000553,0.45033533108947155,0.4987274728179136,0.020472101321754504,0.04154121520400668
0.5,1.038585166703292,0.586414833296708,0.45063700029834836,0.4988577413618654,0.02045056578764215,0.04147062662523068
0.75,1.0387221150435737,0.5862778849564262,0.45090715653709773,0.4989796554734376,0.02043026770653847,0.04140356466400957
1.0,1.0388535195813977,0.5861464804186022,0.45114783033396105,0.4990936754796233,0.020410666661765414,0.04133985948450597
1.25,1.0389794879709788,0.5860205120290211,0.45136094030534785,0.49920023660052604,0.020392204680710124,0.04127934971844341
1.5,1.0391001292653215,0.5858998707346786,0.45154829924737583,0.49929975041446634,0.020374395272717838,0.04122188202394447
1.75,1.0392155535650502,0.5857844464349496,0.45171161987309894,0.49939260622855247,0.0203576346695844,0.04116731066805933
2.0,1.0393258717062066,0.5856741282937935,0.4518525202181972,0.49947917236149125,0.020341484819297317,0.04111549713168518
2.25,1.0394311949828097,0.5855688050171904,0.4519725287362793,0.4995597973448821,0.020326300926586605,0.04106630973565285
2.5,1.039531634900452,0.5854683650995481,0.4520730891034461,0.49963481104874846,0.02031168846088116,0.04101962328682281
2.75,1.0396273029575882,0.5853726970424119,0.452155564750385,0.4997045257366143,0.020297965858634248,0.040975318743096026
3.0,1.0397183104515362,0.5852816895484639,0.4522212431389876,0.49976923705502263,0.020284777702656076,0.04093328289630922
3.25,1.0398047683065375,0.5851952316934627,0.4522713397993079,0.4998292249620179,0.020272409467789965,0.04089340807203698
3.5,1.0398867869214992,0.5851132130785007,0.4523070021415907,0.4998847545987697,0.020260540897332147,0.04085559184538155
3.75,1.0399644760353075,0.5850355239646926,0.4523293130570962,0.4999360771081998,0.020249427909434792,0.04081973677187875
4.0,1.040037944607817,0.5849620553921829,0.45233929432051745,0.4999834304041842,0.02023878186196504,0.04078575013269961
4.25,1.0401073007148396,0.5848926992851603,0.4523379098059282,0.4999729601053649,0.020228832163906918,0.04075354369337028
4.5,1.040172651455625,0.584827348544375,0.45232606852740453,0.4999328808384751,0.02021931860610124,0.04072303347527821
4.75,1.0402341028714943,0.5847658971285056,0.45230462751472467,0.49989612939931205,0.020210446817539973,0.040694139539270396
5.0,1.040291759874436,0.5847082401255642,0.4522743945338702,0.49986251397597065,0.02020198216638963,0.04066678578069115
5.25,1.040345726184594,0.584654273815406,0.45223613066141827,0.4998318527734188,0.02019410894704393,0.0406408997352391
5.5,1.0403961042757024,0.5846038957242975,0.4521905527213266,0.4998039734793311,0.020186615541311376,0.04061641239506156
5.75,1.040442995327619,0.5845570046723808,0.45213833559206645,0.4997787127607075,0.020179667101042603,0.04059325803453119
6.0,1.0404864991852063,0.5845135008147938,0.45208011439155493,0.49975591578932504,0.020173072719546936,0.040571374045186376
6.25,1.040526714322883,0.5844732856771172,0.45201648654686205,0.49973543579420304,0.020166980371811388,0.04055070077933984
6.5,1.0405637378142547,0.5844362621857452,0.4519480137552347,0.49971713363939374,0.020161217794987363,0.04053118140189094
6.75,1.0405976653062887,0.5844023346937112,0.45187522384256823,0.4997008774255225,0.02015591755060564,0.04051276174989993
7.0,1.0406285909975521,0.5843714090024478,0.451798612525078,0.49968654211361335,0.020150924162063294,0.04049539019950921
7.25,1.0406566076201007,0.5843433923798994,0.4517186450795703,0.49967400916983307,0.02014635635981124,0.04047901753981582
7.5,1.0406818064246481,0.5843181935753518,0.451635757927322,0.49966316622989126,0.02014207378439148,0.04046359685332404
7.75,1.0407042771686321,0.584295722831368,0.4515503601365709,0.49965390678186467,0.02013818275545054,0.040449083402628594
