model,family,regime,impact_object,coefficient_cos,coefficient_sin,amplitude,zero_angle_1_deg,zero_angle_2_deg,maximizing_angle_deg,positive_arc_start_deg,positive_arc_end_deg,dz_per_dalpha_at_zero,standardized_productivity_per_standardized_automation_at_zero
automation_persistence_0.81,finite_window_ou_state_displacement,no_inherited_payoff,domestic_planner_resource_wealth_contribution_impact,0.30501558514994664,0.5193741284408695,0.6023155256824094,329.5753370696663,149.57533706966632,59.575337069666325,329.5753370696663,149.57533706966632,-3.632595167650727,-1.702778984836278
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,z_deviation,0.001635794186284235,1.0016350571484189e-19,0.001635794186284235,270.0,90.0,3.508354649267438e-15,270.0,90.0,7.942998399448099e-16,1.8369701987210297e-16
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,x_deviation,0.0,0.005044115618696411,0.005044115618696411,0.0,180.0,90.0,0.0,180.0,,
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,alpha_deviation_linear,0.0,0.0003783086714022308,0.0003783086714022308,0.0,180.0,90.0,0.0,180.0,,
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,log_capital_deviation,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,capital_deviation_linear,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,tax_rate_deviation,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,tax_speed,-0.00022787469733207065,-0.0003590518916678919,0.00042525890771913805,147.5984713187491,327.5984713187491,237.5984713187491,147.5984713187491,327.5984713187491,-6.813079844403114,-1.575654936118964
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,capital_growth_drift_deviation,9.847923862856972e-05,9.063326556604149e-05,0.00013383777220212303,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,output_deviation_linear,0.0005792896389915866,0.00013910214658037988,0.0005957565719539082,283.50252576102054,103.50252576102054,13.50252576102054,283.50252576102054,103.50252576102054,-1.0382942174102636,-0.24012538325823574
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,rental_rate_deviation_linear,0.00019695847725713944,0.00018126653113208297,0.00026767554440424606,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,wage_income_deviation_linear,0.00038233116173444715,-4.2164384551703074e-05,0.000384649129152577,263.70671712222395,83.70671712222395,353.70671712222395,263.70671712222395,83.70671712222395,0.476857297741252,0.110282364535562
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,tax_base_deviation_linear,0.00019695847725713944,0.00018126653113208297,0.00026767554440424606,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,tax_revenue_deviation_linear,9.847923862856972e-05,9.063326556604149e-05,0.00013383777220212303,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,fiscal_resources_deviation_linear,0.00048081040036301685,4.846888101433842e-05,0.00048324721781302236,275.7563489553729,95.75634895537291,5.756348955372925,275.7563489553729,95.75634895537293,-0.43588457885604825,-0.10080664015949725
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,planner_resource_wealth_deviation,0.02127034880665512,0.015521109938440185,0.026331209468574007,306.1184691104121,126.1184691104121,36.11846911041212,306.1184691104121,126.11846911041212,-3.1552264034297366,-0.7297064133515232
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,planner_resource_wealth_wage_component_deviation,0.0194901734587361,0.013586460852440637,0.023758341270941518,304.88007780541966,124.88007780541966,34.880077805419695,304.8800778054197,124.88007780541969,-3.0142064980093575,-0.6970928648329066
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,planner_resource_wealth_capital_tax_component_deviation,0.001780175347919013,0.0019346490859995483,0.0026290476137372384,317.38116155645,137.38116155645002,47.38116155645005,317.38116155645,137.38116155645005,-4.699176790671519,-1.0867744507647012
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,public_net_worth_deviation,0.0013105278957494734,0.0012061163800743406,0.001781067120526673,312.6242529231912,132.6242529231912,42.62425292319118,312.6242529231912,132.6242529231912,-3.9794706879985027,-0.9203286583873731
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,worker_comprehensive_resources_deviation,0.022580876702404593,0.016727226318514525,0.02810153186144847,306.5299219123809,126.52992191238093,36.52992191238095,306.5299219123809,126.52992191238096,-3.2030631257180437,-0.7407695697099861
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,worker_consumption_deviation,0.00045619484299167407,0.0003379352575468576,0.0005677270233707914,306.5299219123809,126.52992191238093,36.52992191238095,306.5299219123809,126.52992191238096,-3.2030631257180437,-0.7407695697099861
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,transfer_deviation_linear,7.386368125722692e-05,0.0003800996420985607,0.0003872099964261294,349.002934773311,169.00293477331093,79.002934773311,349.002934773311,169.00293477331098,-22.250966325828973,-5.1459612576697795
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,government_primary_cash_flow_deviation_linear,2.4615557371342786e-05,-0.00028946637653251914,0.0002905111164956825,184.86060795675806,4.860607956758031,274.86060795675803,184.86060795675803,4.860607956758031,50.84764167536907,11.759489016060797
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,tax_adjustment_cost_deviation_first_order,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,risky_position_deviation,0.0024296065367085846,-0.0001126616721743348,0.0024322172139005596,267.3450772245784,87.3450772245784,357.3450772245784,267.3450772245784,87.3450772245784,0.20050380089893882,0.0463703362960815
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,safe_position_deviation,-0.0011190786409591084,0.0013187780522486766,0.001729598958066204,40.31701622963978,220.3170162296398,130.3170162296398,40.31701622963979,220.3170162296398,5.095578168975827,1.1784498461327215
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,output_exogenous_state_component,0.0005792896389915866,0.00013910214658037988,0.0005957565719539082,283.50252576102054,103.50252576102054,13.50252576102054,283.50252576102054,103.50252576102054,-1.0382942174102636,-0.24012538325823574
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,wage_income_exogenous_state_component,0.00038233116173444715,-4.2164384551703074e-05,0.000384649129152577,263.70671712222395,83.70671712222395,353.70671712222395,263.70671712222395,83.70671712222395,0.476857297741252,0.110282364535562
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,fiscal_resources_exogenous_state_component,0.00048081040036301685,4.846888101433842e-05,0.00048324721781302236,275.7563489553729,95.75634895537291,5.756348955372925,275.7563489553729,95.75634895537293,-0.43588457885604825,-0.10080664015949725
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,rental_rate_exogenous_state_component,0.00019695847725713944,0.00018126653113208297,0.00026767554440424606,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,planner_resource_wealth_exogenous_state_component,0.02127034880665512,0.015521109938440185,0.026331209468574007,306.1184691104121,126.1184691104121,36.11846911041212,306.1184691104121,126.11846911041212,-3.1552264034297366,-0.7297064133515232
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,claim_loading_state_functional,0.001635794186284235,0.001505468268860834,0.0022231188291290545,312.62425292319114,132.62425292319114,42.62425292319116,312.62425292319114,132.62425292319116,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,claim_payoff_impact,0.001310527895749474,0.00120611638007434,0.001781067120526673,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,optimal_inherited_position,domestic_planner_resource_wealth_contribution_impact,0.02127034880665512,0.015521109938440185,0.026331209468574007,306.1184691104121,126.1184691104121,36.11846911041212,306.1184691104121,126.11846911041212,-3.1552264034297366,-0.7297064133515232
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,z_deviation,0.001635794186284235,1.0016350571484189e-19,0.001635794186284235,270.0,90.0,3.508354649267438e-15,270.0,90.0,7.942998399448099e-16,1.8369701987210297e-16
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,x_deviation,0.0,0.005044115618696411,0.005044115618696411,0.0,180.0,90.0,0.0,180.0,,
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,alpha_deviation_linear,0.0,0.0003783086714022308,0.0003783086714022308,0.0,180.0,90.0,0.0,180.0,,
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,log_capital_deviation,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,capital_deviation_linear,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,tax_rate_deviation,0.0,0.0,0.0,,,,,,,
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,tax_speed,-0.00022787469733207065,-0.0003590518916678919,0.00042525890771913805,147.5984713187491,327.5984713187491,237.5984713187491,147.5984713187491,327.5984713187491,-6.813079844403114,-1.575654936118964
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,capital_growth_drift_deviation,9.847923862856972e-05,9.063326556604149e-05,0.00013383777220212303,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,output_deviation_linear,0.0005792896389915866,0.00013910214658037988,0.0005957565719539082,283.50252576102054,103.50252576102054,13.50252576102054,283.50252576102054,103.50252576102054,-1.0382942174102636,-0.24012538325823574
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,rental_rate_deviation_linear,0.00019695847725713944,0.00018126653113208297,0.00026767554440424606,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,wage_income_deviation_linear,0.00038233116173444715,-4.2164384551703074e-05,0.000384649129152577,263.70671712222395,83.70671712222395,353.70671712222395,263.70671712222395,83.70671712222395,0.476857297741252,0.110282364535562
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,tax_base_deviation_linear,0.00019695847725713944,0.00018126653113208297,0.00026767554440424606,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,tax_revenue_deviation_linear,9.847923862856972e-05,9.063326556604149e-05,0.00013383777220212303,312.62425292319114,132.62425292319114,42.62425292319115,312.62425292319114,132.62425292319114,-3.9794706879984956,-0.9203286583873714
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,fiscal_resources_deviation_linear,0.00048081040036301685,4.846888101433842e-05,0.00048324721781302236,275.7563489553729,95.75634895537291,5.756348955372925,275.7563489553729,95.75634895537293,-0.43588457885604825,-0.10080664015949725
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,planner_resource_wealth_deviation,0.02127034880665512,0.015521109938440185,0.026331209468574007,306.1184691104121,126.1184691104121,36.11846911041212,306.1184691104121,126.11846911041212,-3.1552264034297366,-0.7297064133515232
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,planner_resource_wealth_wage_component_deviation,0.0194901734587361,0.013586460852440637,0.023758341270941518,304.88007780541966,124.88007780541966,34.880077805419695,304.8800778054197,124.88007780541969,-3.0142064980093575,-0.6970928648329066
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,planner_resource_wealth_capital_tax_component_deviation,0.001780175347919013,0.0019346490859995483,0.0026290476137372384,317.38116155645,137.38116155645002,47.38116155645005,317.38116155645,137.38116155645005,-4.699176790671519,-1.0867744507647012
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,public_net_worth_deviation,0.0,4.322902468359114e-19,4.322902468359114e-19,0.0,180.0,90.0,0.0,180.0,,
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,worker_comprehensive_resources_deviation,0.02127034880665512,0.015521109938440185,0.026331209468574007,306.1184691104121,126.1184691104121,36.11846911041212,306.1184691104121,126.11846911041212,-3.1552264034297366,-0.7297064133515232
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,worker_consumption_deviation,0.0004297186314824028,0.00031356844132934966,0.000531961718209898,306.1184691104121,126.1184691104121,36.11846911041212,306.1184691104121,126.11846911041212,-3.1552264034297366,-0.7297064133515232
automation_persistence_0.95,brownian_innovation_short_window,zero_inherited_position,transfer_deviation_linear,4.7387469747955675e-05,0.00035573282588105277,0.0003588752090886647,352.4122523123734,172.41225231237343,82.41225231237343,352.4122523123734,172.41225231237343,-32.45957180046087,-7.5068963963073685
