parameter_path,value,outcome,failed_checks,chi,chi_star,real_closed_loop_root_real,real_closed_loop_root_imag_abs,oscillatory,leading_unconstrained_position,return_demand_component,fiscal_hedge_component,hedge_consumption_equivalent_leading,min_boundary_slack
parameters.tax_adjustment_scale,0.001,pass,[],0.002823793274003288,0.01092882589607878,-0.03804668096933829,0.0,False,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.01920314644313914
parameters.tax_adjustment_scale,0.002,pass,[],0.005647586548006576,0.01092882589607878,-0.03594802786181431,0.0,False,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.019206877668012295
parameters.tax_adjustment_scale,0.00387,pass,[],0.010928079970392725,0.01092882589607878,-0.02599056693024191,0.0,False,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.019212265546390966
parameters.tax_adjustment_scale,0.005,pass,[],0.014118966370016441,0.01092882589607878,-0.026890587528202423,0.008695655591418858,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.01921491807942441
parameters.tax_adjustment_scale,0.01,pass,[],0.028237932740032883,0.01092882589607878,-0.030345655628733256,0.0185248825552944,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.019223437658795972
parameters.tax_adjustment_scale,0.02,pass,[],0.056475865480065765,0.01092882589607878,-0.03487676429595197,0.02702298666196736,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.01923305702385561
parameters.tax_adjustment_scale,0.05,pass,[],0.14118966370016442,0.01092882589607878,-0.042824140958736046,0.038837078853738216,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.019243247418486598
parameters.tax_adjustment_scale,0.1,pass,[],0.28237932740032884,0.01092882589607878,-0.05058807210435459,0.048891892097171596,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.019243853937193217
parameters.tax_adjustment_scale,0.2,pass,[],0.5647586548006577,0.01092882589607878,-0.06013903995866643,0.06034006636486119,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.019233139306021635
parameters.tax_adjustment_scale,0.3,pass,[],0.8471379822009864,0.01092882589607878,-0.06667265552102586,0.06783405633546272,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.01922013812435583
parameters.tax_adjustment_scale,0.5,pass,[],1.411896637001644,0.01092882589607878,-0.07602777647898668,0.07826517598312624,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.01919602618416888
parameters.tax_adjustment_scale,0.75,pass,[],2.117844955502466,0.01092882589607878,-0.08444097427887448,0.08743833532983142,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.019170628739317408
parameters.tax_adjustment_scale,1.0,pass,[],2.823793274003288,0.01092882589607878,-0.09099218553577211,0.09448340796277997,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.01914924807489321
parameters.tax_adjustment_scale,1.5,pass,[],4.235689911004932,0.01092882589607878,-0.10111982164023849,0.10524904060501104,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.019114995484524805
parameters.tax_adjustment_scale,2.0,pass,[],5.647586548006576,0.01092882589607878,-0.10899121988345134,0.11353524468768121,True,0.4464893494362947,12.569150319683768,-12.122660970247473,0.0695415884419857,0.01908770508915167
