theta_deg,named_labels,worker_comprehensive_resources_impact_optimal,worker_comprehensive_resources_impact_zero_position,claim_payoff_impact,domestic_planner_resource_wealth_contribution_impact,transfer_impact_optimal,transfer_impact_zero_position,wage_impact
0.0,pure_productivity_positive,0.022000713488700842,0.02127034880665512,0.0007303646820457212,0.02127034880665512,6.214281365437856e-05,4.738746974795567e-05,0.00038233116173444715
5.0,,0.02519240354264754,0.024346076664551217,0.0008463268780963233,0.024346076664551217,0.00013552692079437615,0.00011842882658124617,0.0003734278346025726
10.0,,0.028192364194045534,0.027236516178467063,0.0009558480155784713,0.027236516178467063,0.00020787958623373647,0.00018856886853497283,0.000361682496167481
15.0,,0.030977763930911915,0.02991966935840666,0.0010580945725052555,0.02991966935840666,0.00027865016250073197,0.00025727378753815245,0.00034718453554669277
20.0,,0.033527404179378786,0.03237511578853848,0.0011522883908403037,0.03237511578853848,0.0003473000427775286,0.00032402069767200643,0.00033004429097463993
25.0,,0.035821880637640434,0.03458416803889013,0.0012377125987503036,0.03458416803889013,0.00041330676002328883,0.00038830161464753005,0.00031039221006207846
30.0,,0.03784373095440673,0.03653001388797422,0.0013137170664325134,0.03653001388797422,0.0004761679632638268,0.0004496273218726605,0.000288377857011004
35.0,,0.03957756762794049,0.038197844273945375,0.0013797233539951193,0.038197844273945375,0.00053540524078585,0.0005075310936859404,0.0002641687743407649
40.0,,0.04101019511423689,0.03957496600050281,0.0014352291137340826,0.03957496600050281,0.0005905677611389692,0.0005615722474206167,0.00023794920778832544
45.0,,0.04213071025308113,0.04065089833977863,0.0014798119133024974,0.04065089833977863,0.0006412357042352575,0.0006113394972658286,0.00020991870408695694
50.0,,0.04293058524768101,0.04141745279700519,0.0015131324506758163,0.04141745279700519,0.0006870234564336108,0.0006564540843999663,0.0001802905922951076
55.0,,0.04340373256634994,0.0418687954299048,0.0015349371364451387,0.0418687954299048,0.0007275825452923994,0.0006965726595740069,0.00014929036023345643
60.0,,0.04354655127229867,0.04200149124851294,0.0015450600237857303,0.04200149124851294,0.0007626042916551604,0.0007313898962066176,0.00011715393838644462
65.0,,0.043357954428938646,0.04181453035752608,0.0015434240714125628,0.04181453035752608,0.0007918221588853646,0.0007606408141038022,8.412590432882976e-05
70.0,,0.04283937737212572,0.04130933564221471,0.0015300417299110112,0.04130933564221471,0.0008150137813711594,0.000784102796118176,5.045762134266273e-05
75.0,,0.04199476678638762,0.04048975193940724,0.0015050148469803806,0.04048975193940724,0.0008320026568619434,0.0008015972823998774,1.640532539093318e-05
77.39997951365545,worker_income_neutral_automation_positive,0.04147534526397681,0.039986426734211114,0.0014889185297656984,0.039986426734211114,0.0008379142612611907,0.0008078340759847029,-8.527490169013624e-20
80.0,,0.04083055066827163,0.03936201677596021,0.0014685338923114187,0.03936201677596021,0.0008426594897570682,0.0008129911293448429,-1.7771824992827576e-05
85.0,,0.03935558940540955,0.03793471289741259,0.001420876507996959,0.03793471289741259,0.0008469031751234307,0.0008181976228980291,-5.181372105747168e-05
90.0,pure_automation_positive,0.03758110834361769,0.03621870294810974,0.0013624053955079492,0.03621870294810974,0.0008447014159529852,0.0008171771384997287,-8.546128341888819e-05
95.0,,0.03552061235523726,0.03422704679992101,0.0012935655553162548,0.03422704679992101,0.0008360709689624774,0.0008099374426523986,-0.00011845843381055322
100.0,,0.03318978305890133,0.03197490215872896,0.0012148809001723657,0.03197490215872896,0.0008210775170647114,0.0007965336338128844,-0.0001505540439937619
101.54778070317035,primary_resource_neutral_automation_positive,0.03241618146825671,0.031227561833323248,0.0011886196349334634,0.031227561833323248,0.0008151629959662882,0.0007911496613698707,-0.00016026836941149944
105.0,,0.030606359472948215,0.029479409205135195,0.0011269502678130212,0.029479409205135195,0.000799835169481923,0.0007770677230598965,-0.00018150384699516092
110.0,,0.02779000301078085,0.026759560147336405,0.001030442863444443,0.026759560147336405,0.0007725055933056977,0.0007516878577281029,-0.0002110722961259074
115.0,,0.024762147845638835,0.023836054678952195,0.0009260931666866404,0.023836054678952195,0.0007392967831127853,0.0007205871939174604,-0.00023903435763419876
115.95220609217762,output_neutral_automation_positive,0.02416342718751935,0.02325803067081794,0.0009053965167014098,0.02325803067081794,0.0007323262070325594,0.0007140347461993393,-0.0002441595597749135
120.0,,0.02154583778359783,0.020731142441857822,0.0008146953417400093,0.020731142441857822,0.0007004614780007817,0.0006840024264586619,-0.0002651772233480025
125.0,,0.0181655508862911,0.01746845369297486,0.0006970971933162394,0.01746845369297486,0.0006562952380909882,0.000642211987522556,-0.00028930193027374286
130.0,,0.014647013178080181,0.014072819463747641,0.0005741937143325394,0.014072819463747641,0.0006071341951374229,0.0005955339275832032,-0.00031122487482481835
135.0,,0.011017002855475709,0.010570082581000584,0.0004469202744751253,0.010570082581000584,0.0005533524943612115,0.000544323494861725,-0.0003307792101557595
140.0,,0.007303146488892861,0.006986900987421746,0.00031624550147111544,0.006986900987421746,0.0004953594469795399,0.0004889704316728367,-0.0003478161159674675
145.0,,0.0035337087677691026,0.003350544858522448,0.00018316390924665477,0.003350544858522448,0.00043359641510014183,0.00042989600825049895,-0.00036220593111955027
150.0,,-0.00026262261078904787,-0.0003113109398644835,4.8688329075435655e-05,-0.0003113109398644835,0.00036853345268915823,0.00036754981662706816,-0.0003738391404298922
151.80492206398452,claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,-0.0016340616122113225,-0.0016340616122113225,0.0,-0.0016340616122113225,0.00034433114815848886,0.00034433114815848886,-0.0003773436166487882
155.0,,-0.004056955272703222,-0.003970797474024358,-8.615779867886435e-05,-0.003970797474024358,0.00030066572817662754,0.0003024063489664584,-0.0003826272081513181
160.0,,-0.007820412055335561,-0.007600063841773844,-0.00022034821356171693,-0.007600063841773844,0.00023050975592574222,0.00023496138639226787,-0.0003885032517820874
165.0,,-0.01152435078013289,-0.011171489134643414,-0.0003528616454894759,-0.011171489134643414,0.00015859946524666592,0.0001657282257940681,-0.0003914225510821178
170.0,,-0.015140582236900168,-0.014657892649668793,-0.0004826895872313736,-0.014657892649668793,8.54821368720867e-05,9.523377332813643e-05,-0.00039136288842101495
175.0,,-0.01864158472071111,-0.018032740750952615,-0.0006088439697584987,-0.018032740750952615,1.1714237820385802e-05,2.401453434345339e-05,-0.00038832471786765524
180.0,pure_productivity_negative,-0.022000713488700835,-0.021270348806655116,-0.000730364682045721,-0.021270348806655116,-6.214281365437843e-05,-4.73874697479556e-05,-0.00038233116173444715
185.0,,-0.025192403542647533,-0.02434607666455121,-0.000846326878096323,-0.02434607666455121,-0.000135526920794376,-0.00011842882658124603,-0.0003734278346025726
190.0,,-0.028192364194045538,-0.027236516178467066,-0.0009558480155784714,-0.027236516178467066,-0.0002078795862337366,-0.00018856886853497296,-0.00036168249616748096
195.0,,-0.030977763930911915,-0.02991966935840666,-0.0010580945725052555,-0.02991966935840666,-0.00027865016250073197,-0.00025727378753815245,-0.00034718453554669277
200.0,,-0.033527404179378786,-0.03237511578853848,-0.0011522883908403037,-0.03237511578853848,-0.0003473000427775286,-0.00032402069767200643,-0.00033004429097463993
205.0,,-0.03582188063764043,-0.034584168038890126,-0.0012377125987503034,-0.034584168038890126,-0.00041330676002328856,-0.00038830161464752983,-0.00031039221006207856
210.0,,-0.03784373095440673,-0.03653001388797422,-0.0013137170664325136,-0.03653001388797422,-0.0004761679632638269,-0.00044962732187266055,-0.00028837785701100397
215.0,,-0.03957756762794049,-0.038197844273945375,-0.0013797233539951193,-0.038197844273945375,-0.00053540524078585,-0.0005075310936859404,-0.0002641687743407649
220.0,,-0.04101019511423689,-0.03957496600050281,-0.0014352291137340826,-0.03957496600050281,-0.0005905677611389692,-0.0005615722474206167,-0.00023794920778832544
225.0,,-0.04213071025308113,-0.04065089833977863,-0.0014798119133024976,-0.04065089833977863,-0.0006412357042352574,-0.0006113394972658286,-0.000209918704086957
230.0,,-0.04293058524768101,-0.04141745279700519,-0.0015131324506758165,-0.04141745279700519,-0.0006870234564336107,-0.0006564540843999662,-0.00018029059229510768
235.0,,-0.04340373256634994,-0.0418687954299048,-0.0015349371364451387,-0.0418687954299048,-0.0007275825452923993,-0.0006965726595740068,-0.00014929036023345656
240.0,,-0.043546551272298666,-0.042001491248512934,-0.0015450600237857303,-0.042001491248512934,-0.00076260429165516,-0.0007313898962066173,-0.00011715393838644478
245.0,,-0.043357954428938646,-0.04181453035752608,-0.0015434240714125628,-0.04181453035752608,-0.0007918221588853647,-0.0007606408141038024,-8.412590432882963e-05
250.0,,-0.04283937737212571,-0.0413093356422147,-0.0015300417299110112,-0.0413093356422147,-0.0008150137813711592,-0.000784102796118176,-5.045762134266262e-05
255.0,,-0.04199476678638762,-0.04048975193940724,-0.0015050148469803804,-0.04048975193940724,-0.0008320026568619434,-0.0008015972823998774,-1.640532539093314e-05
257.39997951365547,worker_income_neutral_automation_negative,-0.041475345263976816,-0.03998642673421112,-0.0014889185297656984,-0.03998642673421112,-0.0008379142612611909,-0.0008078340759847031,1.2688072348286865e-19
260.0,,-0.04083055066827163,-0.03936201677596021,-0.0014685338923114187,-0.03936201677596021,-0.0008426594897570683,-0.000812991129344843,1.7771824992827603e-05
